frame_number,object_id,shape,center_x,center_y
1,1,Circle,80,105
1,2,Rectangle,850,230
1,3,Triangle,100,365
2,1,Circle,82,105
2,2,Rectangle,848,230
2,3,Triangle,102,365
3,1,Circle,85,105
3,2,Rectangle,845,230
3,3,Triangle,105,365
4,1,Circle,88,105
4,2,Rectangle,842,230
4,3,Triangle,107,365
5,1,Circle,91,105
5,2,Rectangle,839,230
5,3,Triangle,110,365
6,1,Circle,94,105
6,2,Rectangle,836,230
6,3,Triangle,113,365
7,1,Circle,97,105
7,2,Rectangle,834,230
7,3,Triangle,115,365
8,1,Circle,100,105
8,2,Rectangle,831,230
8,3,Triangle,118,365
9,1,Circle,103,105
9,2,Rectangle,828,230
9,3,Triangle,120,365
10,1,Circle,106,105
10,2,Rectangle,825,230
10,3,Triangle,123,365
11,1,Circle,109,105
11,2,Rectangle,822,230
11,3,Triangle,126,365
12,1,Circle,111,105
12,2,Rectangle,820,230
12,3,Triangle,128,365
13,1,Circle,114,105
13,2,Rectangle,817,230
13,3,Triangle,131,365
14,1,Circle,117,105
14,2,Rectangle,814,230
14,3,Triangle,133,365
15,1,Circle,120,105
15,2,Rectangle,811,230
15,3,Triangle,136,365
16,1,Circle,123,105
16,2,Rectangle,808,230
16,3,Triangle,139,365
17,1,Circle,126,105
17,2,Rectangle,806,230
17,3,Triangle,141,365
18,1,Circle,129,105
18,2,Rectangle,803,230
18,3,Triangle,144,365
19,1,Circle,132,105
19,2,Rectangle,800,230
19,3,Triangle,146,365
20,1,Circle,135,105
20,2,Rectangle,797,230
20,3,Triangle,149,365
21,1,Circle,138,105
21,2,Rectangle,794,230
21,3,Triangle,152,365
22,1,Circle,140,105
22,2,Rectangle,792,230
22,3,Triangle,154,365
23,1,Circle,143,105
23,2,Rectangle,789,230
23,3,Triangle,157,365
24,1,Circle,146,105
24,2,Rectangle,786,230
24,3,Triangle,159,365
25,1,Circle,149,105
25,2,Rectangle,783,230
25,3,Triangle,162,365
26,1,Circle,152,105
26,2,Rectangle,780,230
26,3,Triangle,165,365
27,1,Circle,155,105
27,2,Rectangle,778,230
27,3,Triangle,167,365
28,1,Circle,158,105
28,2,Rectangle,775,230
28,3,Triangle,170,365
29,1,Circle,161,105
29,2,Rectangle,772,230
29,3,Triangle,172,365
30,1,Circle,164,105
30,2,Rectangle,769,230
30,3,Triangle,175,365
31,1,Circle,167,105
31,2,Rectangle,766,230
31,3,Triangle,178,365
32,1,Circle,169,105
32,2,Rectangle,764,230
32,3,Triangle,180,365
33,1,Circle,172,105
33,2,Rectangle,761,230
33,3,Triangle,183,365
34,1,Circle,175,105
34,2,Rectangle,758,230
34,3,Triangle,185,365
35,1,Circle,178,105
35,2,Rectangle,755,230
35,3,Triangle,188,365
36,1,Circle,181,105
36,2,Rectangle,752,230
36,3,Triangle,191,365
37,1,Circle,184,105
37,2,Rectangle,750,230
37,3,Triangle,193,365
38,1,Circle,187,105
38,2,Rectangle,747,230
38,3,Triangle,196,365
39,1,Circle,190,105
39,2,Rectangle,744,230
39,3,Triangle,198,365
40,1,Circle,193,105
40,2,Rectangle,741,230
40,3,Triangle,201,365
41,1,Circle,196,105
41,2,Rectangle,738,230
41,3,Triangle,204,365
42,1,Circle,198,105
42,2,Rectangle,736,230
42,3,Triangle,206,365
43,1,Circle,201,105
43,2,Rectangle,733,230
43,3,Triangle,209,365
44,1,Circle,204,105
44,2,Rectangle,730,230
44,3,Triangle,211,365
45,1,Circle,207,105
45,2,Rectangle,727,230
45,3,Triangle,214,365
46,1,Circle,210,105
46,2,Rectangle,725,230
46,3,Triangle,217,365
46,4,Circle,770,455
47,1,Circle,213,105
47,2,Rectangle,722,230
47,3,Triangle,219,365
47,4,Circle,768,455
48,1,Circle,216,105
48,2,Rectangle,719,230
48,3,Triangle,222,365
48,4,Circle,766,455
49,1,Circle,219,105
49,2,Rectangle,716,230
49,3,Triangle,224,365
49,4,Circle,764,455
50,1,Circle,222,105
50,2,Rectangle,713,230
50,3,Triangle,227,365
50,4,Circle,762,455
51,1,Circle,225,105
51,2,Rectangle,710,230
51,3,Triangle,230,365
51,4,Circle,759,455
52,1,Circle,227,105
52,2,Rectangle,708,230
52,3,Triangle,232,365
52,4,Circle,757,455
53,1,Circle,230,105
53,2,Rectangle,705,230
53,3,Triangle,235,365
53,4,Circle,755,455
54,1,Circle,233,105
54,2,Rectangle,702,230
54,3,Triangle,237,365
54,4,Circle,753,455
55,1,Circle,236,105
55,2,Rectangle,699,230
55,3,Triangle,240,365
55,4,Circle,751,455
56,1,Circle,239,105
56,2,Rectangle,696,230
56,3,Triangle,243,365
56,4,Circle,748,455
57,1,Circle,242,105
57,2,Rectangle,694,230
57,3,Triangle,245,365
57,4,Circle,746,455
58,1,Circle,245,105
58,2,Rectangle,691,230
58,3,Triangle,248,365
58,4,Circle,744,455
59,1,Circle,248,105
59,2,Rectangle,688,230
59,3,Triangle,250,365
59,4,Circle,742,455
60,1,Circle,251,105
60,2,Rectangle,685,230
60,3,Triangle,253,365
60,4,Circle,740,455
61,1,Circle,254,105
61,2,Rectangle,682,230
61,3,Triangle,256,365
61,4,Circle,737,455
62,1,Circle,256,105
62,2,Rectangle,680,230
62,3,Triangle,258,365
62,4,Circle,735,455
63,1,Circle,259,105
63,2,Rectangle,677,230
63,3,Triangle,261,365
63,4,Circle,733,455
64,1,Circle,262,105
64,2,Rectangle,674,230
64,3,Triangle,263,365
64,4,Circle,731,455
65,1,Circle,265,105
65,2,Rectangle,671,230
65,3,Triangle,266,365
65,4,Circle,729,455
66,1,Circle,268,105
66,2,Rectangle,668,230
66,3,Triangle,269,365
66,4,Circle,726,455
67,1,Circle,271,105
67,2,Rectangle,666,230
67,3,Triangle,271,365
67,4,Circle,724,455
68,1,Circle,274,105
68,2,Rectangle,663,230
68,3,Triangle,274,365
68,4,Circle,722,455
69,1,Circle,277,105
