frame_number,track_id,label,center_x,center_y,bbox
1,1,Triangle,99,364,"[65, 330, 70, 54]"
1,2,Rectangle,850,230,"[818, 207, 65, 47]"
1,3,Circle,80,105,"[52, 77, 57, 57]"
2,1,Triangle,101,364,"[68, 330, 69, 54]"
2,2,Rectangle,848,230,"[816, 207, 65, 47]"
2,3,Circle,82,105,"[54, 77, 57, 57]"
3,1,Triangle,104,364,"[70, 330, 70, 54]"
3,2,Rectangle,845,230,"[813, 207, 65, 47]"
3,3,Circle,85,105,"[57, 77, 57, 57]"
4,1,Triangle,106,364,"[72, 330, 70, 54]"
4,2,Rectangle,842,230,"[810, 207, 65, 47]"
4,3,Circle,88,105,"[60, 77, 57, 57]"
5,1,Triangle,109,364,"[76, 330, 69, 54]"
5,2,Rectangle,839,230,"[807, 207, 65, 47]"
5,3,Circle,91,105,"[63, 77, 57, 57]"
6,1,Triangle,112,364,"[78, 330, 70, 54]"
6,2,Rectangle,836,230,"[804, 207, 65, 47]"
6,3,Circle,94,105,"[66, 77, 57, 57]"
7,1,Triangle,114,364,"[80, 330, 70, 54]"
7,2,Rectangle,834,230,"[802, 207, 65, 47]"
7,3,Circle,97,105,"[69, 77, 57, 57]"
8,1,Triangle,117,364,"[84, 330, 69, 54]"
8,2,Rectangle,831,230,"[799, 207, 65, 47]"
8,3,Circle,100,105,"[72, 77, 57, 57]"
9,1,Triangle,119,364,"[86, 330, 69, 54]"
9,2,Rectangle,828,230,"[796, 207, 65, 47]"
9,3,Circle,103,105,"[75, 77, 57, 57]"
10,1,Triangle,122,364,"[88, 330, 70, 54]"
10,2,Rectangle,825,230,"[793, 207, 65, 47]"
10,3,Circle,106,105,"[78, 77, 57, 57]"
11,1,Triangle,125,364,"[91, 330, 70, 54]"
11,2,Rectangle,822,230,"[790, 207, 65, 47]"
11,3,Circle,109,105,"[81, 77, 57, 57]"
12,1,Triangle,127,364,"[94, 330, 69, 54]"
12,2,Rectangle,820,230,"[788, 207, 65, 47]"
12,3,Circle,111,105,"[83, 77, 57, 57]"
13,1,Triangle,130,364,"[96, 330, 70, 54]"
13,2,Rectangle,817,230,"[785, 207, 65, 47]"
13,3,Circle,114,105,"[86, 77, 57, 57]"
14,1,Triangle,132,364,"[98, 330, 70, 54]"
14,2,Rectangle,814,230,"[782, 207, 65, 47]"
14,3,Circle,117,105,"[89, 77, 57, 57]"
15,1,Triangle,135,364,"[101, 330, 70, 54]"
15,2,Rectangle,811,230,"[779, 207, 65, 47]"
15,3,Circle,120,105,"[92, 77, 57, 57]"
16,1,Triangle,138,364,"[104, 330, 70, 54]"
16,2,Rectangle,808,230,"[776, 207, 65, 47]"
16,3,Circle,123,105,"[95, 77, 57, 57]"
17,1,Triangle,140,364,"[106, 330, 70, 54]"
17,2,Rectangle,806,230,"[774, 207, 65, 47]"
17,3,Circle,126,105,"[98, 77, 57, 57]"
18,1,Triangle,143,364,"[110, 330, 69, 54]"
18,2,Rectangle,803,230,"[771, 207, 65, 47]"
18,3,Circle,129,105,"[101, 77, 57, 57]"
19,1,Triangle,145,364,"[112, 330, 69, 54]"
19,2,Rectangle,800,230,"[768, 207, 65, 47]"
19,3,Circle,132,105,"[104, 77, 57, 57]"
20,1,Triangle,148,364,"[115, 330, 69, 54]"
20,2,Rectangle,797,230,"[765, 207, 65, 47]"
20,3,Circle,135,105,"[107, 77, 57, 57]"
21,1,Triangle,151,364,"[117, 330, 70, 54]"
21,2,Rectangle,794,230,"[762, 207, 65, 47]"
21,3,Circle,138,105,"[110, 77, 57, 57]"
22,1,Triangle,153,364,"[119, 330, 70, 54]"
22,2,Rectangle,792,230,"[760, 207, 65, 47]"
22,3,Circle,140,105,"[112, 77, 57, 57]"
23,1,Triangle,156,364,"[122, 330, 70, 54]"
23,2,Rectangle,789,230,"[757, 207, 65, 47]"
23,3,Circle,143,104,"[115, 77, 57, 57]"
24,1,Triangle,158,364,"[125, 330, 69, 54]"
24,2,Rectangle,786,230,"[754, 207, 65, 47]"
24,3,Circle,146,105,"[118, 77, 57, 57]"
25,1,Triangle,161,364,"[128, 330, 69, 54]"
25,2,Rectangle,783,230,"[751, 207, 65, 47]"
25,3,Circle,149,105,"[121, 77, 57, 57]"
26,1,Triangle,164,364,"[131, 330, 69, 54]"
26,2,Rectangle,780,230,"[748, 207, 65, 47]"
26,3,Circle,152,105,"[124, 77, 57, 57]"
27,1,Triangle,166,364,"[133, 330, 69, 54]"
27,2,Rectangle,778,230,"[746, 207, 65, 47]"
27,3,Circle,155,105,"[127, 77, 57, 57]"
28,1,Triangle,169,364,"[136, 330, 69, 54]"
28,2,Rectangle,775,230,"[743, 207, 65, 47]"
28,3,Circle,158,105,"[130, 77, 57, 57]"
29,1,Triangle,171,364,"[138, 330, 69, 54]"
29,2,Rectangle,772,230,"[740, 207, 65, 47]"
29,3,Circle,161,105,"[133, 77, 57, 57]"
30,1,Triangle,174,364,"[141, 330, 69, 54]"
30,2,Rectangle,769,230,"[737, 207, 65, 47]"
30,3,Circle,164,105,"[136, 77, 57, 57]"
31,1,Triangle,177,364,"[144, 330, 69, 54]"
31,2,Rectangle,766,230,"[734, 207, 65, 47]"
31,3,Circle,167,105,"[139, 77, 57, 57]"
32,1,Triangle,179,364,"[146, 330, 69, 54]"
32,2,Rectangle,764,230,"[732, 207, 65, 47]"
32,3,Circle,169,105,"[141, 77, 57, 57]"
33,1,Triangle,182,364,"[149, 330, 69, 54]"
33,2,Rectangle,761,230,"[729, 207, 65, 47]"
33,3,Circle,172,105,"[144, 77, 57, 57]"
34,1,Triangle,184,364,"[151, 330, 69, 54]"
34,2,Rectangle,758,230,"[726, 207, 65, 47]"
34,3,Circle,175,105,"[147, 77, 57, 57]"
35,1,Triangle,187,364,"[154, 330, 69, 54]"
35,2,Rectangle,754,229,"[722, 207, 66, 47]"
35,3,Circle,178,105,"[150, 77, 57, 57]"
36,1,Triangle,190,364,"[157, 330, 69, 54]"
