frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count
1,0.0,3,3,22.838499979116023,43.78571276197736,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
2,0.03333333333333333,3,3,20.26219997787848,49.35298245460823,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
3,0.06666666666666667,3,3,20.245399966370314,49.39393648241588,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
4,0.1,3,3,21.183500008191913,47.20655225119966,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
5,0.13333333333333333,3,3,17.359299992676824,57.60600948320836,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
6,0.16666666666666666,3,3,23.363699961919338,42.80143991019861,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
7,0.2,3,3,20.987999974749982,47.646274118690165,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
8,0.23333333333333334,3,3,21.756300004199147,45.96369786254977,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
9,0.26666666666666666,3,3,20.49359999364242,48.79572160626843,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
10,0.3,3,3,22.16339996084571,45.11943121392112,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
11,0.3333333333333333,3,3,17.641899990849197,56.68323709570382,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
12,0.36666666666666664,3,3,22.32479996746406,44.79323449515292,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
13,0.4,3,3,21.123600017745048,47.34041541971738,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
14,0.43333333333333335,3,3,19.31579998927191,51.77108898183896,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
15,0.4666666666666667,3,3,18.548600026406348,53.91242458063518,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
16,0.5,3,3,17.609400034416467,56.787851831724126,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
17,0.5333333333333333,3,3,22.33070001238957,44.78139957301731,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
18,0.5666666666666667,3,3,16.22069999575615,61.649620562715036,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
19,0.6,3,3,21.184700017329305,47.20387823202545,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
20,0.6333333333333333,3,3,20.49210004042834,48.799293289956886,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
21,0.6666666666666666,3,3,20.277999981772155,49.31452810429518,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
22,0.7,3,3,16.879100003279746,59.24486493981859,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
23,0.7333333333333333,3,3,16.83859998593107,59.387360043917944,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
24,0.7666666666666667,3,3,22.53359998576343,44.37817306741013,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
25,0.8,3,3,20.84040001500398,47.98372388630032,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
26,0.8333333333333334,3,3,23.012699966784567,43.45426661988173,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
27,0.8666666666666667,3,3,22.939299989957362,43.5933093179736,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
28,0.9,3,3,19.219800014980137,52.02967768762361,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
29,0.9333333333333333,3,3,19.440800009761006,51.43821239341546,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
30,0.9666666666666667,3,3,21.04309998685494,47.52151539576741,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,{},0,0,1,1,1,0
31,1.0,3,3,22.24339998792857,44.95715585489166,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",1,"{""Rectangle"": 1}",0,0,1,1,1,0
32,1.0333333333333334,3,3,19.258600019384176,51.92485429852012,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",1,"{""Rectangle"": 1}",0,0,1,1,1,0
33,1.0666666666666667,3,3,21.328500006347895,46.88562250989873,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",1,"{""Rectangle"": 1}",0,0,1,1,1,0
34,1.1,3,3,21.608500042930245,46.27808492090013,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",1,"{""Rectangle"": 1}",0,0,1,1,1,0
35,1.1333333333333333,3,3,17.458199989050627,57.279673770902875,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",1,"{""Rectangle"": 1}",0,0,1,1,1,0
36,1.1666666666666667,3,3,19.060100021306425,52.46562184260026,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",1,"{""Rectangle"": 1}",0,0,1,1,1,0
37,1.2,3,3,22.37800002330914,44.686745864616604,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",2,"{""Triangle"": 1, ""Rectangle"": 1}",0,0,1,1,1,0
38,1.2333333333333334,3,3,17.47079996857792,57.238363543658465,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",2,"{""Triangle"": 1, ""Rectangle"": 1}",0,0,1,1,1,0
39,1.2666666666666666,3,3,21.819999965373427,45.82951427987713,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",2,"{""Triangle"": 1, ""Rectangle"": 1}",0,0,1,1,1,0
40,1.3,3,3,22.576000017579645,44.29482632978883,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",3,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,0,1,1,1,0
41,1.3333333333333333,3,3,23.433900030795485,42.67322121737558,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",3,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,0,1,1,1,0
42,1.3666666666666667,3,3,17.360300000291318,57.602691196766145,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",3,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,0,1,1,1,0
43,1.4,3,3,16.93929999601096,59.034316662169644,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",3,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,0,1,1,1,0
44,1.4333333333333333,3,3,22.35450001899153,44.733722478715165,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",3,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,0,1,1,1,0
45,1.4666666666666666,3,3,21.27279998967424,47.00838631893297,3,3,,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",3,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,0,1,1,1,0
46,1.5,4,4,17.070500005502254,58.58059223090564,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",3,"{""Triangle"": 1, ""Rectangle"": 1, ""Circle"": 1}",0,0,2,1,1,0
47,1.5333333333333334,4,4,14.610400015953928,68.44439569813578,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
48,1.5666666666666667,4,4,23.16800004336983,43.1629833446145,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
49,1.6,4,4,21.501399984117597,46.50859947439089,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
