frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count,active_vehicles,vehicle_class_counts,direction_a,direction_b,total_crossings,line_orientation
1,0.0,20,20,3020.296300004702,0.33109334339099217,,,3013.402899960056,"{""car"": 18, ""bus"": 2}",20,"{""car"": 18, ""bus"": 2}",0,0,0,0,0,0,20,"{""car"": 18, ""truck"": 0, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
2,0.04,19,19,37.5736000132747,26.61443139988453,,,33.72270002728328,"{""car"": 17, ""bus"": 2}",19,"{""car"": 17, ""bus"": 2}",0,0,0,0,0,0,19,"{""car"": 17, ""truck"": 0, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
3,0.08,21,21,38.004100031685084,26.312950422882583,,,34.111600019969046,"{""car"": 17, ""bus"": 2, ""truck"": 2}",21,"{""car"": 17, ""bus"": 2, ""truck"": 2}",0,0,0,0,0,0,21,"{""car"": 17, ""truck"": 2, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
4,0.12,21,21,38.2256000302732,26.160478820686624,,,33.73000002466142,"{""car"": 17, ""bus"": 2, ""truck"": 2}",21,"{""car"": 17, ""bus"": 2, ""truck"": 2}",0,0,0,0,0,0,21,"{""car"": 17, ""truck"": 2, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
5,0.16,21,21,37.559199961833656,26.6246352695522,,,33.60539994901046,"{""car"": 18, ""bus"": 2, ""truck"": 1}",21,"{""car"": 18, ""bus"": 2, ""truck"": 1}",0,0,0,0,0,0,21,"{""car"": 18, ""truck"": 1, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
6,0.2,21,21,37.53989998949692,26.638323497925793,,,33.13479997450486,"{""car"": 19, ""bus"": 1, ""truck"": 1}",21,"{""car"": 19, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0,21,"{""car"": 19, ""truck"": 1, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
7,0.24,22,22,40.457499970216304,24.717295946021686,,,36.028699949383736,"{""car"": 19, ""bus"": 1, ""truck"": 2}",22,"{""car"": 19, ""bus"": 1, ""truck"": 2}",0,0,0,0,0,0,22,"{""car"": 19, ""truck"": 2, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
8,0.28,22,22,36.95149999111891,27.062500852207478,,,32.89309999672696,"{""car"": 19, ""bus"": 1, ""truck"": 2}",22,"{""car"": 19, ""bus"": 1, ""truck"": 2}",0,0,0,0,0,0,22,"{""car"": 19, ""truck"": 2, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
9,0.32,22,22,38.2621000171639,26.135523129974896,,,34.08389998367056,"{""car"": 19, ""bus"": 2, ""truck"": 1}",22,"{""car"": 19, ""bus"": 2, ""truck"": 1}",0,0,0,0,0,0,22,"{""car"": 19, ""truck"": 1, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
10,0.36,23,23,38.4360000025481,26.017275469187883,,,34.00439996039495,"{""car"": 20, ""bus"": 1, ""truck"": 2}",23,"{""car"": 20, ""bus"": 1, ""truck"": 2}",0,0,0,0,0,0,23,"{""car"": 20, ""truck"": 2, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
11,0.4,22,22,35.553099995013326,28.12694252091266,,,31.561399984639138,"{""car"": 18, ""bus"": 2, ""truck"": 2}",22,"{""car"": 18, ""bus"": 2, ""truck"": 2}",0,0,0,0,0,0,22,"{""car"": 18, ""truck"": 2, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
