frame_number,track_id,label,center_x,center_y,bbox
1,1,car,121,481,"[54, 420, 134, 123]"
1,2,car,193,385,"[136, 342, 115, 86]"
1,3,car,367,359,"[314, 319, 107, 81]"
1,4,car,246,219,"[211, 189, 70, 60]"
1,5,car,818,34,"[798, 19, 40, 30]"
1,6,car,462,88,"[439, 68, 46, 40]"
1,7,car,1081,280,"[1041, 242, 80, 76]"
1,8,car,451,114,"[424, 91, 54, 46]"
1,9,car,292,190,"[263, 166, 58, 49]"
1,10,car,830,202,"[796, 170, 69, 64]"
1,11,car,360,274,"[318, 240, 85, 68]"
1,12,bus,150,290,"[77, 189, 146, 202]"
1,13,car,979,54,"[957, 37, 44, 34]"
1,14,car,894,141,"[863, 117, 62, 48]"
1,15,car,940,122,"[913, 99, 55, 46]"
1,16,car,906,14,"[888, 1, 36, 27]"
1,17,car,1065,52,"[1045, 34, 41, 36]"
1,18,truck,38,211,"[0, 108, 77, 206]"
1,19,car,941,76,"[918, 59, 46, 34]"
1,20,car,322,167,"[293, 143, 59, 48]"
1,21,car,375,232,"[336, 203, 78, 59]"
1,22,bus,38,212,"[0, 108, 77, 208]"
1,23,car,561,67,"[538, 48, 46, 38]"
2,1,car,120,479,"[54, 418, 133, 122]"
2,2,car,193,385,"[136, 342, 115, 86]"
2,3,car,365,358,"[311, 317, 109, 82]"
2,4,car,246,218,"[212, 188, 69, 60]"
2,5,car,819,34,"[799, 18, 41, 32]"
2,6,car,464,87,"[441, 67, 46, 40]"
2,7,car,1081,281,"[1041, 243, 81, 76]"
2,8,car,451,113,"[425, 90, 53, 46]"
2,9,car,293,189,"[264, 165, 58, 49]"
2,10,car,830,202,"[796, 170, 69, 65]"
2,11,car,360,273,"[318, 240, 84, 66]"
2,12,bus,150,289,"[77, 188, 146, 202]"
2,13,car,978,53,"[956, 36, 44, 35]"
2,14,car,894,141,"[863, 117, 62, 49]"
2,15,car,940,122,"[913, 99, 54, 46]"
2,16,car,907,14,"[890, 1, 35, 27]"
2,17,car,1064,53,"[1044, 35, 41, 36]"
2,18,truck,38,211,"[0, 107, 77, 208]"
2,19,car,939,75,"[916, 58, 47, 35]"
2,20,car,323,167,"[293, 143, 60, 48]"
2,21,car,374,231,"[335, 201, 79, 61]"
2,22,bus,38,211,"[0, 107, 77, 209]"
2,23,car,562,66,"[539, 47, 47, 39]"
3,1,car,120,477,"[56, 418, 129, 119]"
3,2,car,193,384,"[136, 341, 115, 86]"
3,3,car,365,358,"[313, 319, 104, 78]"
3,4,car,246,217,"[212, 188, 69, 59]"
3,5,car,820,34,"[798, 18, 44, 33]"
3,6,car,465,87,"[442, 67, 46, 40]"
3,7,car,1083,281,"[1043, 243, 81, 77]"
3,8,car,452,112,"[426, 90, 53, 45]"
3,9,car,293,189,"[265, 165, 57, 48]"
3,10,car,830,202,"[796, 170, 69, 65]"
3,11,car,359,272,"[317, 239, 84, 66]"
3,12,bus,150,288,"[77, 188, 146, 201]"
3,13,car,976,53,"[954, 36, 45, 35]"
3,14,car,893,142,"[863, 118, 61, 48]"
3,15,car,939,122,"[912, 100, 55, 45]"
3,16,car,908,14,"[891, 1, 35, 26]"
3,17,car,1062,52,"[1042, 35, 41, 35]"
3,18,truck,38,211,"[0, 107, 77, 208]"
3,19,car,936,75,"[913, 58, 47, 35]"
3,20,car,323,166,"[294, 143, 59, 47]"
3,21,car,374,230,"[334, 199, 81, 62]"
3,22,bus,39,211,"[0, 107, 78, 209]"
3,23,car,563,66,"[540, 47, 46, 39]"
4,1,car,120,475,"[55, 416, 130, 118]"
4,2,car,195,382,"[137, 339, 116, 87]"
4,3,car,364,356,"[310, 315, 109, 82]"
4,4,car,248,216,"[214, 187, 69, 59]"
4,5,car,821,34,"[799, 18, 44, 33]"
4,6,car,466,87,"[443, 67, 46, 40]"
