frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count
1,0.0,23,23,2218.9151999773458,0.45067067006896416,,,2092.5252999877557,"{""car"": 20, ""bus"": 2, ""truck"": 1}",23,"{""car"": 20, ""bus"": 2, ""truck"": 1}",0,0,0,0,0,0
2,0.04,23,23,163.87930000200868,6.102051936930064,,,61.047199997119606,"{""car"": 20, ""bus"": 2, ""truck"": 1}",23,"{""car"": 20, ""bus"": 2, ""truck"": 1}",0,0,0,0,0,0
3,0.08,23,23,152.6642999961041,6.550319885038738,,,59.531500039156526,"{""car"": 20, ""bus"": 2, ""truck"": 1}",23,"{""car"": 20, ""bus"": 2, ""truck"": 1}",0,0,0,0,0,0
4,0.12,22,22,155.98090004641563,6.411041349950074,,,60.07480004336685,"{""car"": 20, ""bus"": 1, ""truck"": 1}",22,"{""car"": 20, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
5,0.16,23,23,153.3163000131026,6.522463690517831,,,59.07749995822087,"{""car"": 21, ""bus"": 1, ""truck"": 1}",23,"{""car"": 21, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
6,0.2,23,23,160.33290000632405,6.237023093579401,,,60.18159998347983,"{""car"": 21, ""bus"": 1, ""truck"": 1}",23,"{""car"": 21, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
7,0.24,22,22,157.5149999698624,6.348601721685754,,,60.253200004808605,"{""car"": 20, ""bus"": 1, ""truck"": 1}",22,"{""car"": 20, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
8,0.28,22,22,151.3857000390999,6.605643728183837,,,61.60170002840459,"{""car"": 20, ""bus"": 1, ""truck"": 1}",22,"{""car"": 20, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
9,0.32,22,22,151.5217000269331,6.599714759154954,,,58.81349998526275,"{""car"": 20, ""bus"": 1, ""truck"": 1}",22,"{""car"": 20, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
10,0.36,24,24,169.24960003234446,5.908433460456597,,,62.57579999510199,"{""car"": 22, ""bus"": 1, ""truck"": 1}",24,"{""car"": 22, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
11,0.4,25,25,169.18570001143962,5.91066502625449,,,64.2187999910675,"{""car"": 23, ""truck"": 2}",25,"{""car"": 23, ""truck"": 2}",0,0,0,0,0,0
12,0.44,24,24,172.0091999741271,5.813642526971904,,,65.86449994938448,"{""car"": 21, ""truck"": 2, ""bus"": 1}",24,"{""car"": 21, ""truck"": 2, ""bus"": 1}",0,0,0,0,0,0
13,0.48,22,22,153.9232000359334,6.4967464278714955,,,63.4379000402987,"{""car"": 21, ""truck"": 1}",22,"{""car"": 21, ""truck"": 1}",0,0,0,0,0,0
14,0.52,25,25,169.244599994272,5.90860801487223,,,62.44209996657446,"{""car"": 22, ""truck"": 1, ""bus"": 2}",25,"{""car"": 22, ""truck"": 1, ""bus"": 2}",0,0,0,0,0,0
15,0.56,23,23,154.98549997573718,6.452216498682451,,,58.46000002929941,"{""car"": 22, ""bus"": 1}",23,"{""car"": 22, ""bus"": 1}",0,0,0,0,0,0
16,0.6,24,24,160.04980000434443,6.248055292620521,,,62.146499985828996,"{""car"": 22, ""bus"": 1, ""truck"": 1}",24,"{""car"": 22, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
17,0.64,25,25,168.49469998851418,5.9349047778248645,,,62.78999999631196,"{""car"": 23, ""bus"": 1, ""truck"": 1}",25,"{""car"": 23, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
18,0.68,25,25,166.7238000081852,5.997943904534959,,,60.024999955203384,"{""car"": 22, ""bus"": 2, ""truck"": 1}",25,"{""car"": 22, ""bus"": 2, ""truck"": 1}",0,0,0,0,0,0
19,0.72,22,22,148.8089000340551,6.720028168820202,,,57.75179999182001,"{""car"": 21, ""bus"": 1}",22,"{""car"": 21, ""bus"": 1}",0,0,0,0,0,0
20,0.76,23,23,157.10569999646395,6.3651414304032725,,,57.874999998603016,"{""car"": 21, ""bus"": 1, ""truck"": 1}",23,"{""car"": 21, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
21,0.8,24,24,170.20240001147613,5.875357808894432,,,64.36449999455363,"{""car"": 21, ""bus"": 1, ""truck"": 2}",24,"{""car"": 21, ""bus"": 1, ""truck"": 2}",0,0,0,0,0,0
22,0.84,24,24,169.98160001821816,5.882989687665152,,,61.59940001089126,"{""car"": 22, ""bus"": 1, ""truck"": 1}",24,"{""car"": 22, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
23,0.88,24,24,188.22349997935817,5.312832882767915,,,70.3563999850303,"{""car"": 22, ""bus"": 1, ""truck"": 1}",24,"{""car"": 22, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
24,0.92,24,24,207.13970001088455,4.827659786836869,,,90.71149997180328,"{""car"": 21, ""bus"": 1, ""truck"": 2}",24,"{""car"": 21, ""bus"": 1, ""truck"": 2}",0,0,0,0,0,0
25,0.96,23,23,173.24159998679534,5.772285640840428,,,65.27870002901182,"{""car"": 20, ""bus"": 1, ""truck"": 2}",23,"{""car"": 20, ""bus"": 1, ""truck"": 2}",0,0,0,0,0,0
26,1.0,23,23,167.09040000569075,5.984784284231423,,,62.98190000234172,"{""car"": 21, ""bus"": 1, ""truck"": 1}",23,"{""car"": 21, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
27,1.04,23,23,170.58360000373796,5.862228256280717,,,66.47550000343472,"{""car"": 21, ""bus"": 1, ""truck"": 1}",23,"{""car"": 21, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
28,1.08,23,23,171.9192999880761,5.816682595085936,,,62.837100005708635,"{""car"": 21, ""bus"": 1, ""truck"": 1}",23,"{""car"": 21, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
29,1.12,25,25,245.0916999951005,4.080105527930936,,,107.7812000294216,"{""car"": 22, ""truck"": 2, ""bus"": 1}",25,"{""car"": 22, ""truck"": 2, ""bus"": 1}",0,0,0,0,0,0
30,1.16,25,25,242.22090002149343,4.128462902710976,,,104.5402999734506,"{""car"": 23, ""bus"": 1, ""truck"": 1}",25,"{""car"": 23, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
31,1.2,24,24,234.15099998237565,4.2707483635571455,,,95.92340001836419,"{""car"": 22, ""bus"": 1, ""truck"": 1}",24,"{""car"": 22, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
32,1.24,25,25,194.7350000264123,5.1351837105007725,,,72.813100006897,"{""car"": 23, ""bus"": 1, ""truck"": 1}",25,"{""car"": 23, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
33,1.28,23,23,206.0666999896057,4.85279766236098,,,89.21449998160824,"{""car"": 21, ""bus"": 1, ""truck"": 1}",23,"{""car"": 21, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0
34,1.32,25,25,214.3439000356011,4.665399854317788,,,85.75470000505447,"{""car"": 22, ""bus"": 2, ""truck"": 1}",25,"{""car"": 22, ""bus"": 2, ""truck"": 1}",0,0,0,0,0,0
35,1.36,24,24,185.1724999723956,5.400369926144941,,,76.01379998959601,"{""car"": 22, ""truck"": 1, ""bus"": 1}",24,"{""car"": 22, ""truck"": 1, ""bus"": 1}",0,0,0,0,0,0
36,1.4,25,25,184.93889999808744,5.407191239973535,,,73.2904999749735,"{""car"": 22, ""bus"": 1, ""truck"": 2}",25,"{""car"": 22, ""bus"": 1, ""truck"": 2}",0,0,0,0,0,0
37,1.44,24,24,181.63750000530854,5.505471061706828,,,73.1229999801144,"{""car"": 23, ""truck"": 1}",24,"{""car"": 23, ""truck"": 1}",0,0,0,0,0,0
38,1.48,24,24,182.77040001703426,5.471345468997166,,,67.4394000088796,"{""car"": 22, ""truck"": 1, ""bus"": 1}",24,"{""car"": 22, ""truck"": 1, ""bus"": 1}",0,0,0,0,0,0
