frame_number,track_id,label,center_x,center_y,bbox
1,1,bus,246,291,"[13, 137, 466, 308]"
1,2,person,87,385,"[29, 236, 116, 298]"
1,3,person,167,374,"[130, 240, 74, 268]"
1,4,person,437,371,"[395, 226, 84, 291]"
1,5,person,18,422,"[0, 326, 36, 193]"
1,6,traffic light,9,171,"[0, 150, 19, 42]"
2,1,bus,242,294,"[4, 136, 476, 317]"
2,2,person,87,385,"[29, 236, 116, 298]"
2,3,person,167,375,"[131, 241, 73, 268]"
2,4,person,438,375,"[397, 233, 82, 284]"
2,5,person,18,421,"[0, 325, 36, 193]"
3,1,bus,241,296,"[3, 136, 477, 321]"
3,2,person,87,385,"[29, 236, 116, 299]"
3,3,person,168,375,"[132, 241, 73, 268]"
3,4,person,438,374,"[397, 232, 83, 285]"
3,5,person,18,421,"[0, 325, 36, 193]"
4,1,bus,245,293,"[10, 137, 470, 313]"
4,2,person,88,385,"[30, 236, 116, 299]"
4,3,person,169,375,"[133, 241, 73, 268]"
4,4,person,439,372,"[398, 230, 82, 285]"
4,5,person,20,421,"[2, 324, 37, 194]"
5,1,bus,246,292,"[12, 137, 468, 311]"
5,2,person,88,386,"[30, 236, 117, 300]"
5,3,person,170,374,"[133, 240, 74, 269]"
5,4,person,439,372,"[398, 230, 82, 285]"
5,5,person,18,421,"[0, 324, 37, 194]"
6,1,bus,247,291,"[14, 137, 466, 309]"
6,2,person,89,386,"[31, 236, 116, 300]"
6,3,person,171,374,"[134, 240, 74, 269]"
6,4,person,439,372,"[399, 229, 81, 287]"
6,5,person,18,421,"[0, 325, 36, 192]"
7,1,bus,247,291,"[15, 137, 465, 309]"
7,2,person,90,386,"[32, 236, 116, 300]"
7,3,person,171,374,"[135, 240, 73, 269]"
7,4,person,439,373,"[399, 229, 81, 288]"
7,5,person,18,421,"[0, 326, 36, 191]"
8,1,bus,247,291,"[15, 136, 465, 310]"
8,2,person,91,385,"[33, 235, 117, 301]"
8,3,person,173,374,"[136, 240, 74, 269]"
8,4,person,440,374,"[400, 232, 80, 285]"
8,5,person,19,421,"[1, 326, 36, 191]"
9,1,bus,249,290,"[18, 137, 462, 307]"
9,2,person,92,385,"[34, 235, 116, 300]"
9,3,person,173,374,"[136, 240, 74, 269]"
9,4,person,440,374,"[401, 233, 79, 282]"
9,5,person,19,421,"[1, 326, 37, 191]"
10,1,bus,248,290,"[19, 137, 459, 306]"
10,2,person,93,385,"[35, 235, 116, 300]"
10,3,person,174,374,"[137, 240, 74, 268]"
10,4,person,440,374,"[401, 234, 79, 281]"
10,5,person,19,421,"[1, 326, 37, 191]"
11,1,bus,248,290,"[18, 137, 460, 307]"
11,2,person,94,384,"[36, 235, 116, 299]"
11,3,person,174,373,"[138, 239, 73, 269]"
11,4,person,441,374,"[402, 233, 78, 283]"
11,5,person,19,421,"[1, 325, 37, 193]"
12,1,bus,247,290,"[17, 137, 461, 307]"
12,2,person,95,384,"[37, 235, 116, 299]"
12,3,person,175,373,"[138, 239, 74, 269]"
12,4,person,441,373,"[402, 231, 78, 285]"
12,5,person,20,422,"[1, 326, 38, 192]"
13,1,bus,247,291,"[16, 137, 463, 308]"
13,2,person,95,384,"[37, 235, 116, 299]"
13,3,person,175,374,"[139, 240, 73, 268]"
13,4,person,441,373,"[402, 231, 78, 285]"
13,5,person,21,422,"[2, 326, 38, 192]"
14,1,bus,248,291,"[16, 137, 464, 309]"
14,2,person,95,385,"[37, 236, 116, 299]"
14,3,person,176,374,"[139, 240, 74, 268]"
14,4,person,442,379,"[405, 243, 75, 273]"
14,5,person,21,422,"[2, 327, 38, 191]"
15,1,bus,248,292,"[16, 137, 464, 310]"
15,2,person,95,385,"[38, 236, 115, 299]"
15,3,person,177,374,"[140, 240, 74, 268]"
15,4,person,443,382,"[406, 249, 74, 266]"
15,5,person,24,423,"[4, 327, 40, 192]"
16,1,bus,248,292,"[16, 137, 464, 311]"
16,2,person,96,385,"[39, 235, 115, 300]"
16,3,person,177,374,"[141, 240, 73, 268]"
16,4,person,443,381,"[406, 249, 74, 265]"
16,5,person,25,423,"[5, 327, 40, 192]"
17,1,bus,248,292,"[16, 137, 464, 311]"
17,2,person,97,385,"[40, 235, 115, 300]"
17,3,person,178,374,"[141, 240, 74, 268]"
17,4,person,443,377,"[406, 240, 74, 275]"
17,5,person,24,422,"[4, 327, 41, 191]"
18,1,bus,247,293,"[14, 137, 466, 313]"
18,2,person,98,385,"[41, 235, 115, 300]"
18,3,person,179,374,"[142, 241, 74, 267]"
18,4,person,443,380,"[407, 246, 73, 269]"
18,5,person,23,422,"[3, 328, 41, 188]"
19,1,bus,247,294,"[14, 137, 466, 314]"
19,2,person,98,385,"[41, 235, 115, 300]"
19,3,person,179,374,"[143, 241, 73, 267]"
19,4,person,443,388,"[408, 260, 71, 256]"
19,5,person,24,421,"[3, 328, 42, 187]"
20,1,bus,247,294,"[15, 136, 465, 316]"
20,2,person,99,385,"[42, 235, 115, 300]"
20,3,person,180,374,"[144, 241, 73, 267]"
20,4,person,444,394,"[410, 272, 68, 245]"
20,5,person,24,422,"[3, 330, 42, 185]"
