frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count
1,0.0,6,6,3734.887600003276,0.2677456745951666,,,3721.8786000157706,"{""bus"": 1, ""person"": 4, ""traffic light"": 1}",6,"{""bus"": 1, ""person"": 4, ""traffic light"": 1}",0,0,0,0,0,0
2,0.1,5,5,48.27690002275631,20.713840356953934,,,46.63190001156181,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
3,0.2,5,5,42.25540003972128,23.665614313436187,,,40.87939998134971,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
4,0.3,5,5,38.13679999439046,26.221392464682143,,,36.987600033171475,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
5,0.4,5,5,38.943500025197864,25.678226131522937,,,37.94720000587404,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
6,0.5,5,5,37.680800014641136,26.538714666658965,,,36.60769999260083,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
7,0.6,5,5,40.528399986214936,24.674055732279918,,,39.36150000663474,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
8,0.7,5,5,39.746299968101084,25.159574622104778,,,38.77909999573603,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
9,0.8,5,5,40.92639998998493,24.434106108641593,,,39.71909999381751,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
10,0.9,5,5,40.406899992376566,24.748248447385635,,,39.207099995110184,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
11,1.0,5,5,40.57550005381927,24.64541407188086,,,39.34409999055788,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
12,1.1,5,5,40.232200000900775,24.855712587867693,,,38.98559999652207,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
13,1.2,5,5,40.02590000163764,24.983822973601733,,,38.67000003810972,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
14,1.3,5,5,39.820300007704645,25.11281933602998,,,38.59919996466488,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
15,1.4,5,5,40.64070002641529,24.605875374932733,,,39.3859000178054,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
16,1.5,5,5,40.070799994282424,24.955828187674985,,,38.766699959523976,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
17,1.6,5,5,39.33689999394119,25.42142365448278,,,38.321100000757724,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
18,1.7,5,5,40.11999996146187,24.925224350961404,,,38.8441999675706,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
19,1.8,5,5,40.38580000633374,24.761178430120715,,,39.3608000013046,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
20,1.9,5,5,40.5763000017032,24.64492819596722,,,39.23609998309985,"{""bus"": 1, ""person"": 4}",5,"{""bus"": 1, ""person"": 4}",0,0,0,0,0,0
