frame_number,track_id,label,center_x,center_y,bbox
1,1,person,85,386,"[29, 236, 112, 300]"
1,2,bus,239,280,"[1, 135, 476, 290]"
1,3,person,437,373,"[396, 229, 83, 288]"
1,4,person,167,375,"[133, 242, 69, 267]"
1,5,person,22,423,"[0, 326, 45, 194]"
2,1,person,86,386,"[30, 236, 112, 300]"
2,2,bus,239,280,"[1, 135, 476, 290]"
2,3,person,438,374,"[397, 231, 82, 286]"
2,4,person,168,376,"[133, 241, 70, 270]"
2,5,person,23,423,"[1, 326, 45, 194]"
3,1,person,87,386,"[31, 236, 112, 300]"
3,2,bus,241,279,"[4, 135, 474, 289]"
3,3,person,438,373,"[398, 231, 81, 285]"
3,4,person,168,376,"[134, 242, 69, 268]"
3,5,person,23,423,"[1, 328, 45, 191]"
4,1,person,87,385,"[31, 235, 113, 300]"
4,2,bus,240,284,"[0, 135, 480, 299]"
4,3,person,439,373,"[398, 231, 82, 285]"
4,4,person,169,376,"[134, 241, 70, 271]"
4,5,person,22,422,"[0, 327, 45, 191]"
5,1,person,88,385,"[32, 234, 113, 302]"
5,2,bus,240,281,"[1, 135, 479, 292]"
5,3,person,439,373,"[398, 231, 82, 285]"
5,4,person,170,376,"[135, 241, 70, 271]"
5,5,person,22,421,"[0, 326, 44, 191]"
6,1,person,88,385,"[32, 235, 113, 301]"
6,2,bus,240,283,"[0, 135, 480, 297]"
6,3,person,439,373,"[398, 231, 82, 285]"
6,4,person,171,376,"[136, 241, 70, 271]"
6,5,person,21,421,"[0, 326, 42, 191]"
7,1,person,89,385,"[33, 235, 113, 301]"
7,2,bus,239,280,"[2, 135, 475, 291]"
7,3,person,439,374,"[399, 232, 81, 284]"
7,4,person,171,376,"[136, 241, 71, 271]"
7,5,person,21,421,"[0, 326, 42, 191]"
8,1,person,89,385,"[33, 235, 113, 301]"
8,2,bus,240,283,"[0, 135, 480, 296]"
8,3,person,440,375,"[400, 235, 80, 281]"
8,4,person,172,376,"[137, 241, 71, 271]"
8,5,person,21,422,"[0, 327, 42, 190]"
9,1,person,90,385,"[34, 235, 113, 301]"
9,2,bus,240,284,"[0, 135, 480, 298]"
9,3,person,440,375,"[400, 235, 80, 281]"
9,4,person,172,376,"[137, 241, 71, 271]"
9,5,person,21,422,"[0, 327, 43, 190]"
10,1,person,91,385,"[35, 235, 112, 300]"
10,2,bus,240,284,"[0, 135, 480, 298]"
10,3,person,441,385,"[403, 253, 76, 264]"
10,4,person,173,376,"[138, 241, 71, 270]"
10,5,person,21,421,"[0, 325, 43, 193]"
10,8,skateboard,440,506,"[401, 492, 79, 29]"
11,1,person,92,385,"[36, 235, 112, 301]"
11,2,bus,240,285,"[0, 135, 480, 300]"
11,3,person,441,389,"[404, 260, 74, 258]"
11,4,person,174,376,"[139, 241, 71, 270]"
11,5,person,22,421,"[0, 324, 45, 194]"
11,8,skateboard,440,507,"[401, 492, 79, 30]"
12,1,person,92,385,"[36, 234, 113, 302]"
12,2,bus,240,285,"[0, 135, 480, 301]"
12,3,person,442,389,"[405, 260, 74, 258]"
12,4,person,174,375,"[139, 241, 71, 269]"
12,5,person,24,421,"[2, 326, 45, 191]"
12,8,skateboard,440,507,"[401, 492, 79, 30]"
13,1,person,93,385,"[37, 234, 113, 302]"
13,2,bus,240,285,"[0, 135, 480, 301]"
13,3,person,442,386,"[404, 255, 76, 263]"
13,4,person,175,375,"[140, 241, 71, 269]"
13,5,person,25,422,"[3, 328, 45, 189]"
13,8,skateboard,440,506,"[400, 491, 80, 31]"
14,1,person,94,385,"[38, 234, 112, 302]"
14,2,bus,240,286,"[0, 135, 480, 302]"
14,3,person,442,389,"[406, 261, 73, 256]"
14,4,person,176,375,"[140, 241, 72, 269]"
14,5,person,26,422,"[4, 328, 45, 188]"
14,8,skateboard,439,505,"[399, 489, 81, 32]"
15,1,person,95,384,"[39, 233, 112, 303]"
15,2,bus,240,286,"[1, 135, 479, 302]"
15,3,person,442,393,"[407, 270, 71, 246]"
15,4,person,176,375,"[141, 241, 71, 269]"
15,5,person,27,420,"[3, 325, 48, 191]"
16,1,person,96,384,"[40, 232, 112, 304]"
16,2,bus,242,285,"[5, 136, 475, 299]"
16,3,person,443,391,"[407, 266, 72, 250]"
16,4,person,177,375,"[141, 241, 72, 269]"
16,5,person,26,419,"[2, 323, 48, 193]"
17,1,person,97,383,"[41, 230, 112, 306]"
17,2,bus,243,285,"[6, 136, 474, 299]"
17,3,person,443,389,"[407, 263, 73, 253]"
17,4,person,178,375,"[142, 241, 72, 269]"
17,5,person,26,419,"[2, 323, 48, 193]"
18,1,person,98,383,"[42, 230, 113, 306]"
18,2,bus,243,284,"[6, 135, 474, 299]"
18,3,person,443,391,"[408, 267, 71, 248]"
18,4,person,178,375,"[142, 241, 73, 269]"
18,5,person,26,420,"[2, 324, 48, 192]"
19,1,person,98,384,"[42, 233, 113, 303]"
19,2,bus,242,284,"[4, 135, 476, 299]"
19,3,person,444,393,"[409, 271, 70, 244]"
19,4,person,179,375,"[143, 241, 72, 269]"
19,5,person,26,420,"[2, 325, 49, 190]"
20,1,person,99,385,"[43, 234, 112, 303]"
20,2,bus,243,284,"[6, 136, 474, 297]"
20,3,person,444,395,"[410, 276, 69, 239]"
20,4,person,180,375,"[144, 241, 72, 269]"
20,5,person,28,420,"[3, 325, 50, 191]"
