frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count
1,0.0,5,5,245.2097000204958,4.078142095995449,,,235.87579996092245,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
2,0.1,5,5,62.57280003046617,15.98138487510721,,,56.34060001466423,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
3,0.2,5,5,61.27500004367903,16.31986942941108,,,53.60990000190213,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
4,0.3,5,5,60.472199984360486,16.536524225323756,,,53.26849996345118,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
5,0.4,5,5,62.65009997878224,15.961666467231032,,,55.60880003031343,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
6,0.5,5,5,80.86879999609664,12.365708407300069,,,73.34299996728078,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
7,0.6,5,5,84.84359999420121,11.78639284599365,,,77.65470002777874,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
8,0.7,5,5,61.945099965669215,16.143326922617174,,,55.024500004947186,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
9,0.8,5,5,65.43419999070466,15.282528099098887,,,58.44739999156445,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
10,0.9,6,6,65.63699996331707,15.235309361471058,,,58.07890003779903,"{""person"": 4, ""bus"": 1, ""skateboard"": 1}",6,"{""person"": 4, ""bus"": 1, ""skateboard"": 1}",0,0,0,0,0,0
11,1.0,6,6,82.74959999835119,12.08465056048519,,,74.78489994537085,"{""person"": 4, ""bus"": 1, ""skateboard"": 1}",6,"{""person"": 4, ""bus"": 1, ""skateboard"": 1}",0,0,0,0,0,0
12,1.1,6,6,63.45899996813387,15.758206093732221,,,55.67229998996481,"{""person"": 4, ""bus"": 1, ""skateboard"": 1}",6,"{""person"": 4, ""bus"": 1, ""skateboard"": 1}",0,0,0,0,0,0
13,1.2,6,6,61.988000001292676,16.132154610233375,,,54.17529999976978,"{""person"": 4, ""bus"": 1, ""skateboard"": 1}",6,"{""person"": 4, ""bus"": 1, ""skateboard"": 1}",0,0,0,0,0,0
14,1.3,6,6,62.43879999965429,16.01568255644786,,,54.37389999860898,"{""person"": 4, ""bus"": 1, ""skateboard"": 1}",6,"{""person"": 4, ""bus"": 1, ""skateboard"": 1}",0,0,0,0,0,0
15,1.4,5,5,59.72799996379763,16.742566310710565,,,52.90970002533868,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
16,1.5,5,5,62.93020001612604,15.890621668829072,,,55.36749999737367,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
17,1.6,5,5,58.9210000471212,16.97187758524575,,,53.31450002267957,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
18,1.7,5,5,60.98629999905825,16.39712525625332,,,53.95280005177483,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
19,1.8,5,5,85.91249998426065,11.639749747512901,,,78.59700004337355,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
20,1.9,5,5,62.33149999752641,16.043252609670624,,,55.240900022909045,"{""person"": 4, ""bus"": 1}",5,"{""person"": 4, ""bus"": 1}",0,0,0,0,0,0
